word,pos,assigned_cefr,level_source,assigned_level_frequency,total_frequency,crf_A1,crf_A2,crf_B1,crf_B2,crf_C1,crf_C2,crf_total,beacco_A1,beacco_A2,beacco_B1,beacco_B2,beacco_C1,beacco_C2,beacco_total,beacco_level,match_method,crf_word,crf_pos,beacco_word,beacco_pos
raffermissement,NOUN,C2,beacco,45.4565,0.1106,0.0,0.0,0.0,0.0,0.0,45.4565,0.1106,0.0,0.0,0.0,0.0,0.0,12.833,0.0975,C2,word_pos,raffermissement,N,raffermissement,NOM
bénin,ADJ,C2,crf_first_attested,43.6102,0.4967,0.0,0.0,0.0,0.0,0.0,43.6102,0.4967,,,,,,,,,crf_only,bénin,A,,
d' où,CONJ,C2,crf_first_attested,43.6102,0.4967,0.0,0.0,0.0,0.0,0.0,43.6102,0.4967,,,,,,,,,crf_only,d' où,CONJS,,
obérer,VERB,C2,beacco,43.6102,0.4967,0.0,0.0,0.0,0.0,0.0,43.6102,0.4967,0.0,0.0,0.0,0.0,0.0,12.833,0.0975,C2,word_pos,obérer,V,obérer,VER
annuellement,ADV,C2,beacco,39.0461,0.3758,0.0,0.0,0.0,0.0,0.0,39.0461,0.3758,0.0,0.0,0.0,0.0,0.0,4.0185,0.0657,C2,word_pos,annuellement,ADV,annuellement,ADV
enorgueillir,VERB,C2,beacco,39.0461,0.3758,0.0,0.0,0.0,0.0,0.0,39.0461,0.3758,0.0,0.0,0.0,0.0,0.0,4.0185,0.0657,C2,word_pos,enorgueillir,V,enorgueillir,VER
inchangé,ADJ,C2,beacco,39.0461,0.3758,0.0,0.0,0.0,0.0,0.0,39.0461,0.3758,0.0,0.0,0.0,0.0,0.0,4.0185,0.0657,C2,word_pos,inchangé,A,inchangé,ADJ
révèlera,VERB,C2,crf_first_attested,39.0461,0.3758,0.0,0.0,0.0,0.0,0.0,39.0461,0.3758,,,,,,,,,crf_only,révèlera,V,,
divergence,NOUN,C2,beacco,38.9627,0.0948,0.0,0.0,0.0,0.0,0.0,38.9627,0.0948,0.0,0.0,0.0,0.0,0.0,51.3319,0.3902,C2,word_pos,divergence,N,divergence,NOM
corticoïdes,NOUN,C2,beacco,38.656,0.2862,,,,,,,,0.0,0.0,0.0,0.0,0.0,38.656,0.2862,C2,beacco_only,,,corticoïdes,NOM
anglosaxophone,NOUN,C2,crf_first_attested,38.491,0.0936,0.0,0.0,0.0,0.0,0.0,38.491,0.0936,,,,,,,,,crf_only,anglosaxophone,N,,
assidu,ADJ,C2,beacco,38.491,0.0936,0.0,0.0,0.0,0.0,0.0,38.491,0.0936,0.0,0.0,0.0,0.0,0.0,38.656,0.2862,C2,word_pos,assidu,A,assidu,ADJ
avant - bras,ADV,C2,crf_first_attested,38.491,0.0936,0.0,0.0,0.0,0.0,0.0,38.491,0.0936,,,,,,,,,crf_only,avant - bras,ADV,,
bayou,NOUN,C2,beacco,38.491,0.0936,0.0,0.0,0.0,0.0,0.0,38.491,0.0936,0.0,0.0,0.0,0.0,0.0,19.328,0.1431,C2,word_pos,bayou,N,bayou,NOM
colonialisme,NOUN,C2,beacco,38.491,0.0936,0.0,0.0,0.0,0.0,0.0,38.491,0.0936,0.0,0.0,0.0,0.0,0.0,19.328,0.1431,C2,word_pos,colonialisme,N,colonialisme,NOM
colonialiste,ADJ,C2,beacco,38.491,0.0936,0.0,0.0,0.0,0.0,0.0,38.491,0.0936,0.0,0.0,0.0,0.0,0.0,19.328,0.1431,C2,word_pos,colonialiste,A,colonialiste,ADJ
conjugalité,NOUN,C2,beacco,38.491,0.0936,0.0,0.0,0.0,0.0,0.0,38.491,0.0936,0.0,0.0,0.0,0.0,0.0,38.656,0.2862,C2,word_pos,conjugalité,N,conjugalité,NOM
cubitus,NOUN,C2,beacco,38.491,0.0936,0.0,0.0,0.0,0.0,0.0,38.491,0.0936,0.0,0.0,0.0,0.0,0.0,19.328,0.1431,C2,word_pos,cubitus,N,cubitus,NOM
dermique,ADJ,C2,beacco,38.491,0.0936,0.0,0.0,0.0,0.0,0.0,38.491,0.0936,0.0,0.0,0.0,0.0,0.0,19.328,0.1431,C2,word_pos,dermique,A,dermique,ADJ
découvreur,NOUN,C2,beacco,38.491,0.0936,0.0,0.0,0.0,0.0,0.0,38.491,0.0936,0.0,0.0,0.0,0.0,0.0,19.328,0.1431,C2,word_pos,découvreur,N,découvreur,NOM
fédérateur,ADJ,C2,beacco,38.491,0.0936,0.0,0.0,0.0,0.0,0.0,38.491,0.0936,0.0,0.0,0.0,0.0,0.0,19.328,0.1431,C2,word_pos,fédérateur,A,fédérateur,ADJ
glucose,NOUN,C2,beacco,38.491,0.0936,0.0,0.0,0.0,0.0,0.0,38.491,0.0936,0.0,0.0,0.0,0.0,0.0,38.656,0.2862,C2,word_pos,glucose,N,glucose,NOM
guarani,NOUN,C2,beacco,38.491,0.0936,0.0,0.0,0.0,0.0,0.0,38.491,0.0936,0.0,0.0,0.0,0.0,0.0,19.328,0.1431,C2,word_pos,guarani,N,guarani,NOM
humérus,NOUN,C2,beacco,38.491,0.0936,0.0,0.0,0.0,0.0,0.0,38.491,0.0936,0.0,0.0,0.0,0.0,0.0,19.328,0.1431,C2,word_pos,humérus,N,humérus,NOM
neuroscientifiques,ADJ,C2,crf_first_attested,38.491,0.0936,0.0,0.0,0.0,0.0,0.0,38.491,0.0936,,,,,,,,,crf_only,neuroscientifiques,A,,
neurostéroïde,NOUN,C2,crf_first_attested,38.491,0.0936,0.0,0.0,0.0,0.0,0.0,38.491,0.0936,,,,,,,,,crf_only,neurostéroïde,N,,
paléontologue,NOUN,C2,beacco,38.491,0.0936,0.0,0.0,0.0,0.0,0.0,38.491,0.0936,0.0,0.0,0.0,0.0,0.0,19.328,0.1431,C2,word_pos,paléontologue,N,paléontologue,NOM
préexister,VERB,C2,beacco,38.491,0.0936,0.0,0.0,0.0,0.0,0.0,38.491,0.0936,0.0,0.0,0.0,0.0,0.0,19.328,0.1431,C2,word_pos,préexister,V,préexister,VER
radius,NOUN,C2,beacco,38.491,0.0936,0.0,0.0,0.0,0.0,0.0,38.491,0.0936,0.0,0.0,0.0,0.0,0.0,19.328,0.1431,C2,word_pos,radius,N,radius,NOM
reclure,VERB,C2,beacco,38.491,0.0936,0.0,0.0,0.0,0.0,0.0,38.491,0.0936,0.0,0.0,0.0,0.0,0.0,19.328,0.1431,C2,word_pos,reclure,V,reclure,VER
rhétorique,ADJ,C2,beacco,38.491,0.0936,0.0,0.0,0.0,0.0,0.0,38.491,0.0936,0.0,0.0,0.0,0.0,0.0,38.656,0.2862,C2,word_pos,rhétorique,A,rhétorique,ADJ
télé - réalité,NOUN,C2,crf_first_attested,38.491,0.0936,0.0,0.0,0.0,0.0,0.0,38.491,0.0936,,,,,,,,,crf_only,télé - réalité,N,,
vaseux,ADJ,C2,beacco,38.491,0.0936,0.0,0.0,0.0,0.0,0.0,38.491,0.0936,0.0,0.0,0.0,0.0,0.0,19.328,0.1431,C2,word_pos,vaseux,A,vaseux,ADJ
vertébré,ADJ,C2,beacco,38.491,0.0936,0.0,0.0,0.0,0.0,0.0,38.491,0.0936,0.0,0.0,0.0,0.0,0.0,19.328,0.1431,C2,word_pos,vertébré,A,vertébré,ADJ
équateur,NOUN,C2,beacco,38.491,0.0936,0.0,0.0,0.0,0.0,0.0,38.491,0.0936,0.0,0.0,0.0,0.0,0.0,19.328,0.1431,C2,word_pos,équateur,N,équateur,NOM
gardon,NOUN,C2,beacco,32.4689,1.6675,0.0,1.5505,0.0,0.0,2.0505,32.4689,1.6675,0.0,0.0,0.0,0.0,0.0,12.833,0.0975,C2,word_pos,gardon,N,gardon,NOM
contentieux,NOUN,C2,beacco,32.4689,0.079,0.0,0.0,0.0,0.0,0.0,32.4689,0.079,0.0,0.0,0.0,0.0,0.0,25.6659,0.1951,C2,word_pos,contentieux,N,contentieux,NOM
