word,pos,assigned_cefr,level_source,assigned_level_frequency,total_frequency,crf_A1,crf_A2,crf_B1,crf_B2,crf_C1,crf_C2,crf_total,beacco_A1,beacco_A2,beacco_B1,beacco_B2,beacco_C1,beacco_C2,beacco_total,beacco_level,match_method,crf_word,crf_pos,beacco_word,beacco_pos,normalized_word,normalized_pos,crf_source_row,beacco_source_row
en couple,ADV,B1,crf_first_attested,2.1708,1.882,0.0,0.0,2.1708,0.0,6.2023,9.6228,1.882,,,,,,,,,crf_only,en couple,ADV,,,en couple,ADV,5832,
auto - stoppeur,NOUN,B1,crf_first_attested,2.1708,0.1998,0.0,0.0,2.1708,0.0,0.0,0.0,0.1998,,,,,,,,,crf_only,auto - stoppeur,N,,,auto - stoppeur,NOUN,1392,
claustrophilie,NOUN,B1,crf_first_attested,2.1708,0.1998,0.0,0.0,2.1708,0.0,0.0,0.0,0.1998,,,,,,,,,crf_only,claustrophilie,N,,,claustrophilie,NOUN,3133,
contrairement à ce que l',CONJ,B1,crf_first_attested,2.1708,0.1998,0.0,0.0,2.1708,0.0,0.0,0.0,0.1998,,,,,,,,,crf_only,contrairement à ce que l',CONJS,,,contrairement à ce que l',CONJ,3813,
en hausse,ADV,B1,crf_first_attested,2.1708,0.1998,0.0,0.0,2.1708,0.0,0.0,0.0,0.1998,,,,,,,,,crf_only,en hausse,ADV,,,en hausse,ADV,5879,
en stop,ADV,B1,crf_first_attested,2.1708,0.1998,0.0,0.0,2.1708,0.0,0.0,0.0,0.1998,,,,,,,,,crf_only,en stop,ADV,,,en stop,ADV,6010,
service minimum,NOUN,B1,crf_first_attested,2.1708,0.1998,0.0,0.0,2.1708,0.0,0.0,0.0,0.1998,,,,,,,,,crf_only,service minimum,N,,,service minimum,NOUN,14701,
tournée,NOUN,B1,beacco,2.1292,2.8337,0.0,2.9619,2.1292,0.0,0.0,0.0,2.8337,0.0,9.9659,1.3139,0.0,0.0,0.0,3.7168,B1,word_pos,tournée,N,tournée,NOM,tournée,NOUN,15982,12961.0
relier,VERB,B1,beacco,2.1228,9.9289,0.0,6.3998,2.1228,12.1109,18.6069,19.2455,9.9289,0.0,9.8954,6.5353,9.1358,12.0009,19.328,11.7012,B1,word_pos,relier,V,relier,VER,relier,VERB,13587,10910.0
hall,NOUN,B1,beacco,2.1228,2.9955,0.0,8.146,2.1228,0.0,0.0,0.0,2.9955,0.0,12.7318,0.1243,0.0,0.0,0.0,3.1204,B1,word_pos,hall,N,hall,NOM,hall,NOUN,7776,6077.0
retraiter,VERB,B1,beacco,2.1102,3.2101,0.9991,0.0618,2.1102,0.0,0.0,12.9876,3.2101,0.9464,3.4287,0.4665,0.0,0.0,0.0,1.992,B1,word_pos,retraiter,V,retraiter,VER,retraiter,VERB,13810,11116.0
automobiliste,NOUN,B1,beacco,2.1102,2.2905,0.0,3.2125,2.1102,0.0,3.1012,0.0,2.2905,0.0,4.4611,2.5994,0.0,0.0,0.0,2.4288,B1,word_pos,automobiliste,N,automobiliste,NOM,automobiliste,NOUN,1416,1081.0
mille - feuille,NOUN,B1,crf_first_attested,2.0759,0.1911,0.0,0.0,2.0759,0.0,0.0,0.0,0.1911,,,,,,,,,crf_only,mille - feuille,N,,,mille - feuille,NOUN,10208,
césaire,NOUN,B1,crf_first_attested,2.0652,0.1901,0.0,0.0,2.0652,0.0,0.0,0.0,0.1901,,,,,,,,,crf_only,césaire,N,,,césaire,NOUN,4341,
du reste,ADV,B1,crf_first_attested,2.0405,1.4606,0.0,0.0,2.0405,4.5416,0.0,0.0,1.4606,,,,,,,,,crf_only,du reste,ADV,,,du reste,ADV,5067,
atermoyeurs,NOUN,B1,crf_first_attested,2.0405,0.1878,0.0,0.0,2.0405,0.0,0.0,0.0,0.1878,,,,,,,,,crf_only,atermoyeurs,N,,,atermoyeurs,NOUN,1127,
châtre,NOUN,B1,crf_first_attested,2.0405,0.1878,0.0,0.0,2.0405,0.0,0.0,0.0,0.1878,,,,,,,,,crf_only,châtre,N,,,châtre,NOUN,3005,
donc ici,ADV,B1,crf_first_attested,2.0405,0.1878,0.0,0.0,2.0405,0.0,0.0,0.0,0.1878,,,,,,,,,crf_only,donc ici,ADV,,,donc ici,ADV,4954,
fort peu,ADV,B1,crf_first_attested,2.0405,0.1878,0.0,0.0,2.0405,0.0,0.0,0.0,0.1878,,,,,,,,,crf_only,fort peu,ADV,,,fort peu,ADV,7018,
it,VERB,B1,crf_first_attested,2.0405,0.1878,0.0,0.0,2.0405,0.0,0.0,0.0,0.1878,,,,,,,,,crf_only,it,V,,,it,VERB,8973,
habile,ADJ,B1,beacco,2.0392,6.3647,1.5075,5.6529,2.0392,1.0571,0.0,12.9876,6.3647,0.9051,4.7883,3.1766,0.8102,0.0,12.833,5.4321,B1,word_pos,habile,A,habile,ADJ,habile,ADJ,7744,6049.0
four,NOUN,B1,beacco,2.0028,3.3626,0.2652,0.6351,2.0028,0.0,15.5058,0.0,3.3626,0.4856,4.4863,3.5957,0.0,6.0005,0.0,3.9152,B1,word_pos,four,N,four,NOM,four,NOUN,7051,5453.0
abri,NOUN,B1,beacco,1.9817,4.4725,3.1584,5.3764,1.9817,0.5755,0.0,0.0,4.4725,2.5165,1.5638,7.1395,0.911,0.0,0.0,5.5297,B1,word_pos,abri,N,abri,NOM,abri,NOUN,41,33.0
