word,pos,assigned_cefr,level_source,assigned_level_frequency,total_frequency,crf_A1,crf_A2,crf_B1,crf_B2,crf_C1,crf_C2,crf_total,beacco_A1,beacco_A2,beacco_B1,beacco_B2,beacco_C1,beacco_C2,beacco_total,beacco_level,match_method,crf_word,crf_pos,beacco_word,beacco_pos
blanchiment,NOUN,C1,beacco,18.6069,0.3276,0.0,0.0,0.0,0.0,18.6069,0.0,0.3276,0.0,0.0,0.0,0.0,6.0005,0.0,0.1431,C1,word_pos,blanchiment,N,blanchiment,NOM
consi,NOUN,C1,crf_first_attested,18.6069,0.3276,0.0,0.0,0.0,0.0,18.6069,0.0,0.3276,,,,,,,,,crf_only,consi,N,,
cyber - criminalité,NOUN,C1,crf_first_attested,18.6069,0.3276,0.0,0.0,0.0,0.0,18.6069,0.0,0.3276,,,,,,,,,crf_only,cyber - criminalité,N,,
dérablement,NOUN,C1,crf_first_attested,18.6069,0.3276,0.0,0.0,0.0,0.0,18.6069,0.0,0.3276,,,,,,,,,crf_only,dérablement,N,,
effraction,NOUN,C1,beacco,18.6069,0.3276,0.0,0.0,0.0,0.0,18.6069,0.0,0.3276,0.0,0.0,0.0,0.0,6.0005,0.0,0.1431,C1,word_pos,effraction,N,effraction,NOM
fraude,NOUN,C1,beacco,18.6069,0.3276,0.0,0.0,0.0,0.0,18.6069,0.0,0.3276,0.0,0.0,0.0,0.0,6.0005,0.0,0.1431,C1,word_pos,fraude,N,fraude,NOM
gracier,VERB,C1,beacco,18.6069,0.3276,0.0,0.0,0.0,0.0,18.6069,0.0,0.3276,0.0,0.0,0.0,0.0,18.0014,0.0,0.4293,C1,word_pos,gracier,V,gracier,VER
hertzien,ADJ,C1,beacco,18.6069,0.3276,0.0,0.0,0.0,0.0,18.6069,0.0,0.3276,0.0,0.0,0.0,0.0,18.0014,0.0,0.4293,C1,word_pos,hertzien,A,hertzien,ADJ
il y à,PREP,C1,crf_first_attested,18.6069,0.3276,0.0,0.0,0.0,0.0,18.6069,0.0,0.3276,,,,,,,,,crf_only,il y à,PREP,,
incarcérer,VERB,C1,beacco,18.6069,0.3276,0.0,0.0,0.0,0.0,18.6069,0.0,0.3276,0.0,0.0,0.0,0.0,12.0009,0.0,0.2862,C1,word_pos,incarcérer,V,incarcérer,VER
